Punt_nr,b1,b2,b3,b4,b5,b7,So_depth,,
2033,10284,12385,13893,17334,20592,18362,900,,
2034,10285,12522,13782,17466,20502,19012,900,,
2035,9879,11280,12092,16548,19230,15515,700,,
2036,9746,11280,12430,16285,18141,15903,600,,
2037,9610,11004,11979,16023,18323,14738,800,,
2038,9813,10866,11754,15892,18141,14350,900,,
2039,9746,10866,11754,15630,18504,14479,900,,
2040,9813,11004,11866,14973,18596,15126,900,,
2041,9746,10866,11754,14842,18323,14350,900,,
2042,9746,10866,11866,15105,18504,14479,900,,
2043,9678,11004,11866,15498,18777,14997,900,,
2044,9610,10866,11866,15236,18867,14997,900,,
2045,9813,11280,12205,15892,19049,15515,900,,
2046,9879,11280,12205,15498,18414,15515,900,,
2047,9746,10866,11754,15238,17962,14998,800,,
2048,9881,11142,12206,15238,17870,14739,900,,
2049,9610,10866,11754,14581,16964,13833,900,,
2050,9948,11280,12206,16156,17962,14609,900,,
2051,9744,11141,11978,15891,19320,15255,700,,
2052,9812,11141,12316,16416,19410,15902,600,,
2053,9746,11004,11979,16285,19230,15385,800,,
2054,9746,11004,11866,15760,18596,14738,800,,
2055,9947,11142,12317,16285,19049,15256,900,,
2056,9678,11004,11641,15630,17960,14090,900,,
2057,9678,10866,11528,15236,17778,14090,900,,
2058,9543,10726,11415,14711,17597,14090,900,,
2059,9879,11280,12317,15498,17960,14868,900,,
2060,9746,11142,11754,15630,17960,14220,900,,
2061,9678,10726,11415,15105,17960,13961,900,,
2062,9813,11142,11979,15892,18686,15126,900,,
2063,10216,11419,12317,16023,19321,15644,800,,
2064,10216,11280,12092,15760,18686,15256,900,,
2065,10014,11280,12317,15498,18958,14997,900,,
2066,10014,11557,12543,15760,19230,15903,900,,
2067,10014,11419,12543,15892,19412,16291,900,,
